user_ID,loc_ID,rating
1728,14,5.0
37701,14,5.0
806,14,5.0
50342,14,5.0
12717,13,5.0
13308,13,5.0
46273,13,5.0
2420,13,5.0
5385,13,5.0
10721,13,3.0
54477,13,5.0
6327,13,5.0
34101,13,5.0
26705,13,5.0
28045,3,5.0
8179,5,5.0
53619,3,3.0
14043,3,5.0
45557,3,5.0
16595,3,5.0
14802,3,5.0
48700,3,5.0
26138,3,4.0
4213,3,2.0
33276,3,5.0
878,5,5.0
12718,5,5.0
50343,5,5.0
1485,5,5.0
24916,5,5.0
1483,5,2.0
34166,5,5.0
773,5,5.0
44445,5,5.0
12804,2,5.0
32562,2,5.0
23623,2,5.0
25546,2,5.0
34116,2,5.0
6297,2,5.0
34515,2,5.0
34488,2,5.0
27921,2,5.0
24966,2,5.0
25753,4,5.0
46956,4,1.0
15281,4,5.0
49925,4,5.0
17409,4,3.0
1973,4,1.0
21559,4,5.0
2456,4,5.0
26804,4,5.0
39308,4,5.0
20535,10,5.0
5331,10,5.0
37237,10,5.0
5162,10,5.0
31618,10,5.0
4594,10,5.0
3867,10,5.0
34739,10,5.0
23738,10,5.0
25979,10,4.0
854,31,5.0
38896,31,5.0
24930,31,5.0
53463,31,5.0
12734,31,5.0
48169,31,5.0
10890,31,5.0
17019,31,5.0
54997,31,5.0
29591,31,5.0
46218,15,5.0
12649,15,4.0
22106,15,5.0
6375,15,5.0
39195,15,3.0
2209,15,2.0
48079,15,3.0
42815,15,5.0
4630,15,5.0
33844,15,5.0
13703,12,5.0
52734,12,5.0
24413,12,4.0
38027,12,4.0
57646,12,5.0
25483,12,5.0
27212,12,3.0
35908,12,3.0
21264,12,2.0
1479,12,5.0
8171,6,5.0
9148,6,4.0
50284,6,5.0
29798,6,4.0
49919,6,5.0
8678,6,4.0
3141,6,4.0
20009,6,4.0
1946,6,5.0
15312,6,5.0
44456,60,5.0
28484,60,5.0
5456,60,5.0
10550,60,5.0
54356,60,5.0
57393,60,5.0
33204,60,5.0
24515,60,5.0
38912,60,5.0
14852,60,5.0
48500,4,4.0
26272,4,5.0
55363,4,4.0
32711,4,5.0
11134,4,5.0
49629,4,4.0
27987,4,5.0
22684,4,5.0
1747,4,5.0
25141,4,5.0
26303,15,5.0
34528,15,5.0
35940,15,5.0
24215,15,5.0
18781,15,5.0
29703,15,4.0
29969,15,4.0
4982,15,5.0
19844,15,5.0
34400,15,4.0
20509,59,4.0
30864,59,5.0
28037,59,5.0
39098,59,5.0
1241,59,5.0
23951,59,5.0
51533,59,5.0
10376,59,5.0
55769,59,4.0
10201,59,4.0
55223,58,5.0
26116,58,5.0
43341,58,5.0
17969,58,5.0
22532,58,5.0
22947,58,5.0
33103,58,5.0
23501,58,5.0
18976,58,5.0
28549,58,5.0
56025,54,5.0
7717,54,5.0
42209,54,5.0
13206,54,5.0
55252,54,5.0
23249,54,5.0
6693,54,5.0
21189,54,1.0
5924,54,5.0
37695,54,5.0
4237,56,5.0
29434,56,5.0
38061,56,5.0
37936,56,5.0
9495,56,5.0
54351,56,5.0
39186,56,5.0
44805,56,4.0
16119,56,5.0
29926,56,5.0
3705,57,5.0
43513,57,5.0
17743,57,1.0
53170,57,5.0
14231,57,5.0
30714,57,5.0
25027,57,1.0
52750,57,5.0
9159,57,5.0
56410,57,5.0
12599,55,5.0
43245,55,4.0
9896,55,5.0
6149,55,5.0
30954,55,5.0
29644,55,5.0
23363,55,5.0
56379,55,5.0
9680,55,5.0
47864,55,5.0
15492,52,5.0
11652,52,5.0
46537,52,5.0
20720,52,5.0
55383,52,5.0
10330,52,1.0
36462,52,5.0
36030,52,3.0
55827,52,5.0
49349,52,5.0
16891,51,4.0
25166,51,5.0
35171,51,5.0
8980,51,5.0
49025,51,5.0
26771,51,5.0
54216,51,5.0
17653,51,5.0
18274,51,5.0
55645,51,5.0
56205,53,5.0
6913,53,5.0
23405,53,5.0
2980,53,5.0
34776,53,5.0
45926,53,5.0
9595,53,5.0
8941,53,5.0
56453,53,5.0
2114,53,5.0
57766,49,5.0
55697,49,5.0
35912,49,5.0
40823,49,5.0
21457,49,5.0
57697,49,5.0
53880,49,5.0
18010,49,5.0
35107,49,5.0
33889,49,5.0
35949,50,5.0
21877,50,4.0
39903,50,5.0
4864,50,5.0
12123,50,5.0
46968,50,4.0
56252,50,5.0
18232,50,5.0
36551,50,5.0
10403,50,5.0
43922,47,5.0
10785,47,5.0
44494,47,5.0
21790,47,5.0
5771,47,5.0
20218,47,5.0
16937,47,5.0
30892,47,5.0
13237,47,5.0
51915,47,5.0
29786,48,5.0
20082,48,5.0
4568,48,5.0
4837,48,5.0
7972,48,5.0
29488,48,5.0
29716,48,5.0
19255,48,5.0
50282,48,1.0
9146,48,5.0
35615,45,4.0
38307,45,5.0
21680,45,5.0
56742,45,5.0
38703,45,5.0
2126,45,4.0
46000,45,5.0
13014,45,5.0
7098,45,5.0
4850,45,5.0
7117,59,5.0
22189,59,5.0
50402,59,5.0
46106,59,5.0
1881,59,5.0
45990,59,4.0
49610,59,5.0
16960,59,5.0
27492,59,5.0
39349,59,5.0
26812,58,5.0
25642,58,5.0
